"NAME","FACID","STATEID","MCARE_ID","TELEPHONE","FAXPHONE","FACEMAIL","ABBREV","ADDRESS","FAC_CITY","FAC_ST","FAC_ZIP","FACTYPE","OPERSTDESC","CLOSEDDATE","CNTYNAME","LIC_BED_TOTAL","CERT_BED_TOTAL","OPENDATE","BED_EFFECTIVE_DATE"
"1 AMAZING HOME CARE, LLC","OHL50825","0818HHS","","6149867231","","franklin@1amazinghhci.com","SL-HMED","5898 CLEVELAND AVENUE, SUITE LLB","COLUMBUS","OH","43231","LA1","ACTIVE","","FRANKLIN","","","10/03/2022",""
"1 AMAZING HOME HEALTH CARE LLC","OHL50824","0817HHS","","6149867231","","kradford@continentalhhc.net","SL-HMED","5898 CLEVELAND AVENUE, SUITE LL","COLUMBUS","OH","43231","LA1","ACTIVE","","FRANKLIN","","","10/03/2022",""
"1 FAMILY CARE","OHL98906","2188HHN","","4194418134","","1familycare715@gmail.com","SL-HNM","5461 SOUTHWYCK BLVD, STE 1L","TOLEDO","OH","43614","LA2","ACTIVE","","LUCAS","","","04/19/2024",""
"14 HEARTS HEALTHCARE AGENCY, LLC","OHL7329","3982HHN","","3606497078","","bcarolynb1@gmail.com","SL-HNM","1900 W MARKET ST LL","AKRON","OH","44313","LA2","ACTIVE","","SUMMIT","","","05/01/2024",""
"181 ENTERPRISE","OHL99249","3063HHS","","5673185005","","enterprise181@yahoo.com","SL-HMED","112 BLOOMFIELD AVE.","TOLEDO","OH","43607","LA1","ACTIVE","","LUCAS","","","06/21/2024",""
"1ST ASSIST LLC","OHL98870","2154HHN","","6146260071","","hhc1stassist@outlook.com","SL-HNM","6100 CHANNINGWAY BLVD, STE 305","COLUMBUS","OH","43232","LA2","ACTIVE","","FRANKLIN","","","04/09/2024",""
"1ST CHOICE HOME HEALTH CARE, LLC","OHL51102","1089HHS","","7404239789","","suzannedeem@yahoo.com","SL-HMED","2126 WASHINGTON BLVD","BELPRE","OH","45714","LA1","ACTIVE","","WASHINGTON","","","07/20/2023",""
"1ST CHOICE HOME HEALTHCARE, LLC","OHL51103","1090HHS","","6192526739","","1stchoicehhc2016@gmail.com","SL-HMED","5900 ROCHE DRIVE, STE LL-22","COLUMBUS","OH","43229","LA1","ACTIVE","","FRANKLIN","","","07/20/2023",""
"1ST PIONEER HOMECARE LLC","OHL99529","3335HHS","","6148063772","","1stpioneerhomecare@gmail.com","SL-HMED","2572 CLEVELAND AVE","COLUMBUS","OH","43211","LA1","ACTIVE","","FRANKLIN","","","09/06/2024",""
"21ST CENTURY HOME HEALTH SERVICES LLC","OHL50396","0391HHS","","6143920701","","21chhs.ohio@gmail.com","SL-HMED","635 PARK MEADOW ROAD, SUITE 207","WESTERVILLE","OH","43081","LA1","ACTIVE","","FRANKLIN","","","09/30/2022",""
