ahec,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2022,2023
Area L,12.75,13.44,13.06,13.44,13.56,13.94,13.55,13.34,13.3,13.16,13.49,13.51,13.34,13.47,14.12,14.37,14.37,14.56,14.75,14.44,14.3,14.13
Charlotte,19.14,19.17,19.49,19.67,19.86,20.14,20.58,20.9,21.39,21.63,21.68,22.05,22.45,22.75,23.12,23.09,23.47,23.85,24.34,24.95,25.24,25.69
Eastern,17.22,17.49,17.6,17.78,17.73,17.9,17.61,17.51,17.28,17.15,18.08,18.44,18.44,19.15,19.65,19.82,20.02,20.3,20.43,20.8,20.68,20.58
Greensboro,24.24,24.72,25.13,25.32,25.4,25.62,25.38,25.56,26.03,25.52,26.05,26.8,27.07,28.24,28.85,29.19,29.44,29.53,29.58,30.22,32.54,32.5
Mountain,20.46,20.74,20.76,21.47,21.12,21.72,21.63,21.62,21.6,21.69,21.92,22.06,22.39,23.18,23.83,24.02,24.98,25,25.41,25.36,25.72,26.43
Northwest,18.58,18.92,19.11,19.13,19.2,19.48,19.73,19.94,20.22,20.29,21.43,22.04,22.37,22.76,23.18,23.39,23.55,24.07,24.01,24.26,24.48,24.39
South East,17.32,17.75,17.76,18.02,17.93,18.14,18.09,17.85,18.37,18.27,18.23,18.86,18.9,18.73,19.04,19.54,19.62,20.16,19.92,19.92,19.86,19.68
Southern Regional,13.07,13.25,12.83,13.09,13.05,13.41,13.43,13.48,13.75,13.83,13.77,13.97,14.71,14.87,15.84,15.88,15.97,15.74,15.95,16.02,15.79,15.42
Wake AHEC,26.11,26.1,26.29,26.21,26.15,26.2,26.45,26.47,26.62,26.79,28.01,28.43,28.44,28.58,28.67,28.09,28.2,28.67,29.09,29.51,30.51,30.64
