Discipline,HPSA ID,HPSA Name,Designation Type,Primary State Name,County Name,HPSA FTE Short,HPSA Score,PC MCTA Score,Status,Rural Status,Designation Date,Update Date
Dental Health,6392918701,Grafton Correctional Institution,Correctional Facility,Ohio,"Lorain County, OH",0.998,6,NA,Designated,Non-Rural,03/05/2021,03/05/2021
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Grafton Correctional Institution,2500 Avon Belden Rd,Grafton,OH,44044-9802,Lorain,Non-Rural,,,,,
Mental Health,7393801101,Allen-Oakwood Correctional Institution,Correctional Facility,Ohio,"Allen County, OH",0.365,6,NA,Designated,Non-Rural,03/05/2021,03/05/2021
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Allen-Oakwood Correctional Institution,2338 N West St,Lima,OH,45801-2051,Allen,Non-Rural,,,,,
Primary Care,1395562724,Allen Oakwood Correctional Institution,Correctional Facility,Ohio,"Allen County, OH",1.50,12,0 ,Designated,Non-Rural,11/15/2018,03/14/2022
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Allen Oakwood Correctional Institution,2338 N West St,Lima,OH,45801-2051,Allen,Non-Rural,,,,,
Dental Health,6395016300,Allen Oakwood Correctional Institution,Correctional Facility,Ohio,"Allen County, OH",0.503,3,NA,Designated,Non-Rural,09/22/2011,03/14/2022
,Site Name,Site Address,Site City,Site State,Site ZIP Code,County,Rural Status,,,,,
,Allen Oakwood Correctional Institution,2338 N West St,Lima,OH,45801-2051,Allen,Non-Rural,,,,,
Dental Health,6397095432,LI-Collinwood,Low Income Population HPSA,Ohio,"Cuyahoga County, OH",4.389,21,NA,Designated,Non-Rural,09/07/2021,09/07/2021
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,Ohio,Cuyahoga,"Census Tract 1169, Cuyahoga County, Ohio",Census Tract,39035116900,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1171.01, Cuyahoga County, Ohio",Census Tract,39035117101,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1171.02, Cuyahoga County, Ohio",Census Tract,39035117102,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1172.01, Cuyahoga County, Ohio",Census Tract,39035117201,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1172.02, Cuyahoga County, Ohio",Census Tract,39035117202,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1173, Cuyahoga County, Ohio",Census Tract,39035117300,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1174, Cuyahoga County, Ohio",Census Tract,39035117400,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1175, Cuyahoga County, Ohio",Census Tract,39035117500,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1176, Cuyahoga County, Ohio",Census Tract,39035117600,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1178, Cuyahoga County, Ohio",Census Tract,39035117800,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1179, Cuyahoga County, Ohio",Census Tract,39035117900,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1261, Cuyahoga County, Ohio",Census Tract,39035126100,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1527.01, Cuyahoga County, Ohio",Census Tract,39035152701,Non-Rural,,,,,,
,Ohio,Cuyahoga,"Census Tract 1527.02, Cuyahoga County, Ohio",Census Tract,39035152702,Non-Rural,,,,,,
Dental Health,6398575412,LI-North Central Cincinnati,Low Income Population HPSA,Ohio,"Hamilton County, OH",0.587,11,NA,Designated,Non-Rural,12/29/2011,08/18/2021
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,Ohio,Hamilton,"Census Tract 110, Hamilton County, Ohio",Census Tract,39061011000,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 257, Hamilton County, Ohio",Census Tract,39061025700,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 258, Hamilton County, Ohio",Census Tract,39061025800,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 271, Hamilton County, Ohio",Census Tract,39061027100,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 60, Hamilton County, Ohio",Census Tract,39061006000,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 61, Hamilton County, Ohio",Census Tract,39061006100,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 63, Hamilton County, Ohio",Census Tract,39061006300,Non-Rural,,,,,,
,Ohio,Hamilton,"Census Tract 64, Hamilton County, Ohio",Census Tract,39061006400,Non-Rural,,,,,,
Dental Health,6399038214,LI - Marion Center City,Low Income Population HPSA,Ohio,"Marion County, OH",3.417,19,NA,Designated,Rural,09/26/2005,08/18/2021
,Component State Name,Component County Name,Component Name,Component Type,Component GEOID,Component Rural Status,,,,,,
,Ohio,Marion,"Census Tract 1, Marion County, Ohio",Census Tract,39101000100,Rural,,,,,,
,Ohio,Marion,"Census Tract 102.02, Marion County, Ohio",Census Tract,39101010202,Rural,,,,,,
,Ohio,Marion,"Census Tract 11, Marion County, Ohio",Census Tract,39101001100,Rural,,,,,,
,Ohio,Marion,"Census Tract 2, Marion County, Ohio",Census Tract,39101000200,Rural,,,,,,
,Ohio,Marion,"Census Tract 3, Marion County, Ohio",Census Tract,39101000300,Rural,,,,,,
,Ohio,Marion,"Census Tract 4, Marion County, Ohio",Census Tract,39101000400,Rural,,,,,,
,Ohio,Marion,"Census Tract 5.01, Marion County, Ohio",Census Tract,39101000501,Rural,,,,,,
